# OpenMP Version 0 threads on 0 CPUs 
# size   real  repetitions Mops/s
2 5.50816e-06 36030 726195
4 5.80842e-06 35989 2.75462e+06
8 7.02842e-06 30082 9.10588e+06
16 1.15132e-05 18028 2.22353e+07
32 2.88965e-05 7245 3.54368e+07
64 0.00015422 1392 2.65595e+07
128 0.000738472 273 2.21863e+07
256 0.00317554 67 2.06378e+07
512 0.0127144 17 2.0618e+07
1024 0.0509803 4 2.05683e+07
2048 0.203369 2 2.06241e+07
4096 0.807013 1 2.07893e+07
#  Results of Triangular Matrix:
#2 5.49135e-06 35714 728419
#4 5.68117e-06 36540 2.81632e+06
#8 6.41335e-06 32391 9.97918e+06
#16 8.88519e-06 21600 2.8812e+07
#32 1.80305e-05 11559 5.67928e+07
#64 5.49186e-05 3489 7.45831e+07
#128 0.000308851 687 5.30481e+07
#256 0.00155918 128 4.20323e+07
#512 0.00644478 32 4.06754e+07
#1024 0.0259734 8 4.03712e+07
#2048 0.103375 2 4.05737e+07
#4096 0.409516 1 4.09684e+07
# total time = 7.05 s
