 # OpenMP Version,  2  threads on  8  CPUs 
 # size   real  repetitions Mops/s
 # Triangular Matrix: 
 2 2.803177635131741E-05 3869 142695.2023970472
 4 2.803703455854058E-05 3563 570673.7624691523
 8 2.828421293462746E-05 3888 2262746.364833326
 16 2.931230578604332E-05 3410 8733533.344957501
 32 3.067354139472757E-05 3584 33383820.49931847
 64 3.682818021764135E-05 2817 111219179.8724267
 128 5.841406168916677E-05 1816 280480410.4734684
 256 1.407490126336747E-04 709 465623159.7913197
 512 4.591340465205056E-04 224 570953084.3696477
 1024 2.869748406940036E-03 36 365389522.46273
 2048 1.228955056932237E-02 9 341290267.3975707
 4096 4.892468452453613E-02 3 342919247.4728394
 # 2 4.151587531455613E-05 2427 96348.68516423971
 # 4 4.568038893967604E-05 2381 350259.7147570055
 # 8 5.440829966002860E-05 1859 1176291.124697984
 # 16 6.062716196336868E-05 1813 4222529.831673086
 # 32 6.894434440586575E-05 1455 14852559.8266894
 # 64 7.660010037470625E-05 1378 53472514.78736339
 # 128 9.488193259035642E-05 1101 172677764.3825652
 # 256 1.416986638849432E-04 770 462502596.7302986
 # 512 3.112696554967229E-04 319 842176535.2670554
 # 1024 1.747745578571902E-03 59 599959177.6148567
 # 2048 7.334215300423759E-03 14 571881766.2412584
 # 4096 2.698075771331787E-02 4 621821528.4487233
 # total time =  2.96850299835205  seconds
